country,attainment,gender,degree
Slovak Republic,17.8811,total,bachelor
St. Lucia,11.71407,female,bachelor
St. Lucia,8.342239999999999,male,bachelor
St. Lucia,10.09929,total,bachelor
Sweden,14.46945,female,bachelor
Sweden,8.37337,male,bachelor
Sweden,11.46417,total,bachelor
Sweden,9.28926,female,master
Sweden,8.809610000000001,male,master
Sweden,9.0528,total,master
Sweden,0.84735,female,doctoral
Sweden,1.47933,male,doctoral
Sweden,1.15891,total,doctoral
Turkey,10.67482,female,bachelor
Turkey,15.13155,male,bachelor
Turkey,12.8794,total,bachelor
Turkey,0.93235,female,master
Turkey,1.38594,male,master
Turkey,1.15672,total,master
Turkey,0.26784,female,doctoral
Turkey,0.42091999999999996,male,doctoral
Turkey,0.34356,total,doctoral
Uganda,0.97811,female,bachelor
Uganda,1.57865,male,bachelor
Uganda,1.28948,total,bachelor
United Kingdom,16.43458,female,bachelor
United Kingdom,16.48688,male,bachelor
United Kingdom,16.46,total,bachelor
United Kingdom,6.2824599999999995,female,master
United Kingdom,6.13703,male,master
United Kingdom,6.21177,total,master
United Kingdom,0.62962,female,doctoral
United Kingdom,1.21963,male,doctoral
United Kingdom,0.9164100000000001,total,doctoral
United States,20.182479999999998,female,bachelor
United States,19.9986,male,bachelor
United States,20.09422,total,bachelor
United States,10.020480000000001,female,master
United States,9.74713,male,master
United States,9.88928,total,master
United States,1.1878,female,doctoral
United States,2.20736,male,doctoral
United States,1.6771599999999998,total,doctoral
Uruguay,6.15701,female,bachelor
Uruguay,5.374630000000001,male,bachelor
Uruguay,5.7916,total,bachelor
Uruguay,1.36489,female,master
Uruguay,1.32208,male,master
Uruguay,1.34489,total,master
Uruguay,0.061970000000000004,female,doctoral
Uruguay,0.06014,male,doctoral
Uruguay,0.061110000000000005,total,doctoral
West Bank and Gaza,14.24632,female,bachelor
West Bank and Gaza,14.95636,male,bachelor
West Bank and Gaza,14.604079999999998,total,bachelor
West Bank and Gaza,0.79511,female,master
West Bank and Gaza,1.87668,male,master
West Bank and Gaza,1.34007,total,master
West Bank and Gaza,0.06838,female,doctoral
West Bank and Gaza,0.55206,male,doctoral
West Bank and Gaza,0.31209000000000003,total,doctoral
